Titel;Autor(en);ISBN;ASIN;Erscheinungsjahr;Genre;Seitenanzahl;Dauer (Stunden);Dauer (Minuten);Buchart;Preis;Erhalten als;Lesestatus;Lesebeginn;Leseende;Bewertung;Kategorie;Notizen;Erhalten am
Der Spurenfinder;Luise Kling, Johanna Kling, Marc-Uwe Kling;9783-5480-6972-2;354806972X;2025;7c9a6c79-19ea-4dea-90da-d7d47042d341_1001;336;0;0;Taschenbuch;0;Leihe;Gelesen;22.05.2026;09.06.2026;0;;;23.05.2026
Der Coach;John Grisham;9783-4534-3019-8;3453430190;2005;Taschenbücher;192;0;0;Taschenbuch;0;Leihe;Gelesen;01.04.2026;13.04.2026;0;;;01.04.2026
Die Spurenfinder und das Drachenzepter;Elisabeth Kling, Luise Kling, Johanna Kling, Marc-Uwe Kling;9783-5502-0307-7;3550203071;2025;7c9a6c79-19ea-4dea-90da-d7d47042d341_1001;368;0;0;Hardcover;0;Leihe;Gelesen;20.07.2026;31.07.2026;0;;;21.07.2026
The Secret of Secrets;Dan Brown;9783-7857-2770-6;3785727704;2025;Autoren;800;0;0;Hardcover;0;Geschenk;Gelesen;12.01.2026;13.03.2026;0;;;12.01.2026
Keine Kompromisse;Lee Child;9783-6412-2107-2;B07JDHXHNT;2019;Thriller & Suspense;448;0;0;E-Book;0;Tausch;Gelesen;14.03.2026;01.04.2026;0;;;06.03.2026
Der Ermittler;Lee Child;9783-7341-1029-0;3734110297;2021;Krimi;416;0;0;E-Book;0;Leihe;Gelesen;10.06.2026;17.07.2026;0;Krimi;;10.06.2026
Triumph und Fall;Jeffrey Archer;9783-4534-7151-1;3453471512;2019;Taschenbücher;896;0;0;Taschenbuch;0;Leihe;Gelesen;12.11.2025;11.01.2026;0;;;12.11.2025
Im Schatten unserer Wünsche: Die Clifton Saga 4 - Roman;Jeffrey Archer;9783-4534-1991-9;345341991X;2016;Taschenbücher;544;0;0;Taschenbuch;0;Leihe;Gelesen;13.08.2025;30.08.2025;0;;;13.08.2025
Die Wege der Macht: Die Clifton Saga 5 - Roman;Jeffrey Archer;9783-4534-1992-6;3453419928;2017;Taschenbücher;592;0;0;Taschenbuch;0;Leihe;Gelesen;31.08.2025;27.09.2025;0;;;31.08.2025
Möge die Stunde kommen: Die Clifton Saga 6 - Roman;Jeffrey Archer;9783-4534-2167-7;3453421671;2017;Taschenbücher;592;0;0;Taschenbuch;0;Leihe;Gelesen;28.09.2025;19.10.2025;0;;;29.09.2025
Die Ernte des Bösen;Robert Galbraith;9783-7341-0409-1;3734104092;2017;Taschenbücher;672;0;0;Taschenbuch;0;Leihe;Gelesen;14.04.2026;20.05.2026;0;;;21.04.2026
Winter eines Lebens: Die Clifton Saga 7 - Roman;Jeffrey Archer;9783-4534-2177-6;3453421779;2017;Taschenbücher;608;0;0;Taschenbuch;0;Leihe;Gelesen;19.10.2025;11.11.2025;0;;;25.10.2025
Erbe und Schicksal: Die Clifton Saga 3 - Roman;Jeffrey Archer;9783-4534-7136-8;3453471369;2016;Taschenbücher;512;0;0;Taschenbuch;12;Kauf;Gelesen;31.07.2025;13.08.2025;0;;;03.08.2025
Spiel der Zeit: Die Clifton Saga 1 - Roman;Jeffrey Archer;9783-4534-7134-4;3453471342;2015;Taschenbücher;560;0;0;Taschenbuch;0;Leihe;Gelesen;08.07.2025;17.07.2025;0;;;06.07.2025
Verraten;Jussi Adler-Olsen;9783-4232-8352-6;3423283521;2024;Belletristik;608;0;0;Hardcover;0;Geschenk;Gelesen;28.01.2025;07.04.2025;0;;;24.12.2024
Das Vermächtnis des Vaters: Die Clifton Saga 2 - Roman;Jeffrey Archer;9783-4534-7135-1;3453471350;2015;Taschenbücher;480;0;0;Taschenbuch;0;Leihe;Gelesen;17.07.2025;31.07.2025;0;;;18.07.2025
Im Visier;Lee Child;9783-6412-2106-5;B076SY9N9V;2018;Thriller & Suspense;417;0;0;E-Book;0;Leihe;Gelesen;09.04.2025;28.04.2025;0;;;09.04.2025
Der Seidenspinner;Robert Galbraith;9783-6411-4595-8;B00JYAJPXK;2014;Suspense;673;0;0;E-Book;0;Gewinn;Gelesen;03.06.2025;07.07.2025;0;;;03.06.2025
Das Testament;John Grisham;9783-6411-1018-5;B00BBBACT6;2013;Literatur & Fiktion;496;0;0;E-Book;0;Kauf;Gelesen;28.04.2025;02.06.2025;0;;;28.04.2025
Der Astronaut;Andy Weir;9783-6412-7283-8;;2021;Fiction;421;0;0;E-Book;10,99;Kauf;Gelesen;05.02.2024;26.02.2024;0;;;05.02.2024
Fairy Tale;Stephen King;9781-3997-0543-1;;2022;Fiction;706;0;0;E-Book;0;Gewinn;Gelesen;08.09.2024;22.01.2025;0;;;08.09.2024
Später;Stephen King;9783-6412-7738-3;;2021;Fiction;238;0;0;E-Book;9,99;Kauf;Gelesen;14.01.2024;04.02.2024;0;;;15.01.2024
Der Ruf des Kuckucks: Ein Fall für Cormoran Strike;Robert Galbraith;9783-4423-8321-4;3442383218;2014;Taschenbücher;656;0;0;Taschenbuch;0;Leihe;Gelesen;15.05.2024;08.09.2024;0;;;05.02.2024
Die Gejagten;Lee Child;9783-6411-8710-1;B0196U26WO;2016;Thriller & Suspense;449;0;0;E-Book;0;Kauf;Gelesen;01.03.2024;30.04.2024;0;;;05.02.2024
Jacks wundersame Reise mit dem Weihnachtsschwein;J.K. Rowling;9783-6469-3599-8;;2021;Juvenile Fiction;337;0;0;E-Book;0;Leihe;Gelesen;27.12.2023;12.01.2024;0;;;29.12.2023
Der letzte Befehl;Lee Child;9783-6412-0761-8;B01MSW29IV;2017;Thriller & Suspense;450;0;0;E-Book;0;Leihe;Gelesen;27.11.2023;22.12.2023;0;;;28.11.2023
Die Furcht des Weisen, Teil 2: Die Königsmörder-Chronik. Zweiter Tag;Patrick Rothfuss;9783-6089-3926-2;;2012;Schwert & Magie;528;0;0;Hardcover;0;Leihe;Gelesen;01.11.2023;23.11.2023;0;;;01.11.2023
Die Furcht des Weisen, Teil 1: Die Königsmörder-Chronik. Zweiter Tag;Patrick Rothfuss;9783-6089-3816-6;;2011;Schwert & Magie;860;0;0;Hardcover;0;Leihe;Gelesen;24.08.2023;31.10.2023;0;;;25.08.2023
Billy Summers;Stephen King;9783-6412-7940-0;;2021;Fiction;720;0;0;E-Book;0;Leihe;Gelesen;03.04.2023;14.05.2023;0;;;12.01.2023
Der Anhalte;Lee Child;9783-7341-0300-1;;2016;Suspense;448;0;0;E-Book;0;Leihe;Gelesen;22.05.2023;12.06.2023;0;;;22.05.2023
Underground;Lee Child;9783-6410-6115-9;;2012;Fiction;448;0;0;E-Book;0;Kauf;Gelesen;23.08.2022;25.09.2022;0;Krimi;;18.08.2022
Natrium Chlorid;Jussi Adler-Olsen;9783-4232-6347-4;;2022;Justiz;528;0;0;Taschenbuch;0;Geschenk;Gelesen;15.01.2023;29.03.2023;0;Krimi;;24.12.2022
Der Name des Windes: Die Königsmörder-Chronik. Erster Tag;Patrick Rothfuss;9783-6089-3815-9;;2012;Schwert & Magie;863;0;0;Hardcover;25;Kauf;Gelesen;13.06.2023;22.08.2023;0;Fantasy;;16.06.2023
Wespennest;Lee Child;9783-7341-0091-8;;2015;Thriller & Suspense;448;0;0;E-Book;0;Leihe;Gelesen;18.12.2022;11.01.2023;0;;;18.12.2022
Die Bruderschaft;Grisham, John;9783-4532-1069-1;3453210697;2002;Suspense;448;0;0;Taschenbuch;0;Leihe;Gelesen;04.07.2022;20.08.2022;0;;;13.07.2022
61 Stunden;Lee Child;9783-6410-8876-7;;2013;Fiction;357;0;0;E-Book;0;Leihe;Gelesen;25.10.2022;16.12.2022;0;;;29.10.2022
Home Run;John Grisham;9783-6411-0448-1;;2013;Fiction;288;0;0;E-Book;0;Leihe;Gelesen;19.10.2021;27.10.2021;0;;;21.10.2021
Playlist;Sebastian Fitzek;9783-4262-8156-7;3426281562;2021;Psycho-Thriller;400;0;0;Hardcover;0;Geschenk;Gelesen;15.04.2022;03.07.2022;0;;;15.04.2022
Outlaw;Lee Child;9783-6410-6117-3;;2011;Fiction;448;0;0;E-Book;0;Kauf;Gelesen;25.03.2022;14.04.2022;0;;;27.03.2022
Der Junge muss an die frische Luft: Meine Kindheit und ich;Kerkeling, Hape;9783-4923-2000-9;3492320007;2016;Theater;320;0;0;Taschenbuch;10;Kauf;Gelesen;05.08.2021;15.08.2021;0;;;15.08.2018
INFINITUM - Die Ewigkeit der Sterne;Paolini, Christopher;9783-4262-2736-7;3426227363;2020;Science Fiction;960;0;0;Hardcover;24;Kauf;Gelesen;28.10.2021;24.03.2022;0;;;16.08.2021
Das andere Kind;Charlotte Link;9783-7341-0793-1;3734107938;2019;Thriller & Suspense;672;0;0;Taschenbuch;0;Geschenk;Gelesen;16.08.2021;20.09.2021;0;;;16.08.2021
Trouble;Lee Child;9783-6410-4914-0;;2010;Fiction;464;0;0;E-Book;0;Geschenk;Gelesen;23.09.2021;17.10.2021;0;;;01.09.2021
Der Brief für den König;Tonke Dragt;9783-4077-5576-6;3407755767;2020;Abenteuer;464;0;0;Taschenbuch;0;Leihe;Gelesen;21.04.2021;19.05.2021;0;;;23.04.2021
Way Out;Lee Child;9783-6410-2775-9;;2009;Fiction;480;0;0;E-Book;0;Kauf;Gelesen;23.05.2021;02.07.2021;0;;;26.05.2021
Eragon - Das Erbe der Macht;Christopher Paolini;9783-6410-7136-3;;2011;Young Adult Fiction;992;0;0;E-Book;0;Leihe;Gelesen;10.11.2020;29.01.2021;0;;;04.07.2020
Touchdown;John Grisham;9783-6411-1031-4;;2013;Fiction;368;0;0;E-Book;0;Kauf;Gelesen;04.07.2021;01.08.2021;0;;;02.07.2021
Wer Strafe verdient;Elizabeth George;9783-4424-9002-8;3442490022;2020;Detektivinnen;864;0;0;Taschenbuch;0;Geschenk;Gelesen;01.02.2021;19.04.2021;0;Krimi;;24.12.2020
